Alan	Dean	95 Denton St	 	Wollaton West Ward	Nottinghamshire	NG8 2NB	01355 500797	Alan.Dean@academic.ac.uk	10000536	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Patricia	Dow	5 Chadwick St #7	 	Llangeler Community	Ceredigion	SA44 5HF	01252 621329	Patricia.Dow@academic.ac.uk	10000612	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Debra	Earnshaw	67 Micawber St	 	Brockley Ward	Greater London	SE14 6RQ	01712 135466	Debra.Earnshaw@academic.ac.uk	10000721	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Steven	Edge	43 Williamson St #7995	 	Meads Ward	East Sussex	BN20 7HB	01469 300335	Steven.Edge@academic.ac.uk	10000754	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Paul	Ellison	5 Howe St	 	Broxburn, Uphall and Winchburg	West Lothian	EH52 6NF	01428 343825	Paul.Ellison@academic.ac.uk	10000878	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
Luke	Fallon	7 Cheapside #9	 	St. Ive	Cornwall	PL14 5PA	01770 129032	Luke.Fallon@academic.ac.uk	10001165	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
Hazel	Fleming	85 Bridgewater St	 	Shard End Ward	West Midlands	B34 7BP	01689 253476	Hazel.Fleming@academic.ac.uk	10007817	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
Elizabeth	Foster	763 Parkfield Rd	 	Norton Canes	Staffordshire	WS11 9RH	01823 383806	Elizabeth.Foster@academic.ac.uk	10001446	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Kamma	Foulkes	662 Grove Park	 	Bulwell Ward	Nottinghamshire	NG6 8RG	01835 634521	Kamma.Foulkes@academic.ac.uk	10004772	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Christopher	Fowler	5410 Lawton St	 	Treorchy Community	Rhondda Cynon Taff	CF42 6PL	01383 647035	Christopher.Fowler@academic.ac.uk	11003648	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Ronnette	Francis	3 August Rd	 	Maybury and Sheerwater Ward	Surrey	GU21 5QL	01670 813697	Ronnette.Francis@academic.ac.uk	11002847	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Colette	Franklin	476 Starkie St	 	Westgate Ward	Gloucestershire	GL1 1QW	01472 324699	Colette.Franklin@academic.ac.uk	10001919	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Carol	Freeman	6448 Tillard St	 	Conisbrough and Denaby Ward	South Yorkshire	DN12 4JF	01412 528394	Carol.Freeman@academic.ac.uk	10007924	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
Craig	Frost	3055 Creswick St	 	Newbold and Brownsover Ward	Warwickshire	CV21 1LN	01670 234959	Craig.Frost@academic.ac.uk	11000813	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
